,ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
568,COLEMDE01,Derrick,Coleman,F,1990,2004,6.0,10.0,230.0,Syracuse,1967-06-21 00:00:00
569,COLEMEC01,E.c.,Coleman,F,1973,1978,6.0,8.0,225.0,Houston Baptist,1950-09-25 00:00:00
570,COLEMJA01,Jack,Coleman,F,1949,1957,6.0,7.0,195.0,Louisville,1924-05-23 00:00:00
571,COLEMNO01,Norris,Coleman,F,1987,1987,6.0,8.0,210.0,Kansas,1961-09-27 00:00:00
572,COLESBI01,Bimbo,Coles,G,1990,2003,6.0,1.0,180.0,Virginia Tech,1968-04-22 00:00:00
573,COLLIJA02,Jason,Collier,F,2000,2004,7.0,0.0,260.0,Georgia Tech,1977-09-08 00:00:00
574,COLLIAR01,Art,Collins,G,1980,1980,6.0,4.0,185.0,Biscayne,1954-04-14 00:00:00
575,COLLIDO01,Doug,Collins,G,1973,1980,6.0,6.0,180.0,Illinois State,1951-07-28 00:00:00
576,COLLIDO02,Don,Collins,G,1980,1986,6.0,6.0,190.0,Washington State,1958-11-28 00:00:00
577,COLLIJA01,James,Collins,G,1997,1997,6.0,4.0,196.0,Florida State,1973-11-05 00:00:00
578,COLLIJA03,Jason,Collins,C,2001,2004,7.0,0.0,260.0,Stanford,1978-12-02 00:00:00
579,COLLIJA04,Jarron,Collins,C,2001,2004,6.0,11.0,255.0,Stanford,1978-12-02 00:00:00
580,COLLIJI01,Jimmy,Collins,G,1970,1971,6.0,2.0,175.0,New Mexico State,1946-11-24 00:00:00
581,COLLINI01,Nick,Collison,F,2004,2004,6.0,9.0,255.0,Kansas,1980-10-26 00:00:00
582,COLONJO01,Joe,Colone,F,1948,1948,6.0,5.0,210.0,Bloomsburg State,1926-01-23 00:00:00
583,COLSOSE01,Sean,Colson,G,2000,2000,6.0,0.0,165.0,Charlotte,1975-07-01 00:00:00
584,COLTEST01,Steve,Colter,G,1984,1994,6.0,3.0,165.0,New Mexico State,1962-07-24 00:00:00
585,COMBSGL01,Glen,Combs,G,1968,1974,6.0,2.0,185.0,Virginia Tech,1946-10-30 00:00:00
586,COMBSLE01,Leroy,Combs,F,1983,1983,6.0,8.0,210.0,Oklahoma State,1961-01-01 00:00:00
587,COMEAJO01,John,Comeaux,F,1967,1967,6.0,5.0,193.0,Grambling,1943-09-15 00:00:00
588,COMEGDA01,Dallas,Comegys,C,1987,1988,6.0,9.0,205.0,DePaul,1964-08-17 00:00:00
589,COMLELA01,Larry,Comley,G,1963,1963,6.0,5.0,210.0,Kansas State,1939-08-17 00:00:00
590,CONGDJE01,Jeff,Congdon,G,1967,1971,6.0,1.0,180.0,Brigham Young,1943-10-17 00:00:00
591,CONLEGE01,Gene,Conley,C,1952,1963,6.0,8.0,225.0,Washington State,1930-11-10 00:00:00
592,CONLELA01,Larry,Conley,G,1967,1967,6.0,3.0,175.0,Kentucky,1944-01-22 00:00:00
593,CONLIED01,Ed,Conlin,F,1955,1961,6.0,5.0,200.0,Fordham,1933-09-02 00:00:00
594,CONLOMA01,Marty,Conlon,C,1991,1999,6.0,10.0,224.0,Providence,1968-01-19 00:00:00
595,CONNEJI01,Jimmy,Conner,G,1975,1975,6.0,4.0,190.0,Kentucky,1953-03-20 00:00:00
596,CONNELE01,Lester,Conner,G,1982,1994,6.0,4.0,180.0,Oregon State,1959-09-17 00:00:00
597,CONNOCH01,Chuck,Connors,F,1946,1947,6.0,5.0,190.0,Seton Hall,1921-04-10 00:00:00
598,COOKAN01,Anthony,Cook,F,1990,1995,6.0,9.0,205.0,Arizona,1967-03-19 00:00:00
599,COOKBE01,Bert,Cook,G,1954,1954,6.0,3.0,185.0,Utah State,1929-04-26 00:00:00
600,COOKBO01,Bobby,Cook,G,1949,1949,5.0,10.0,155.0,Wisconsin,1923-04-01 00:00:00
601,COOKDA01,Darwin,Cook,G,1980,1988,6.0,3.0,184.0,Portland,1958-08-06 00:00:00
602,COOKJE01,Jeff,Cook,F,1979,1987,6.0,10.0,215.0,Idaho State,1956-10-21 00:00:00
603,COOKNO01,Norm,Cook,F,1976,1977,6.0,8.0,210.0,Kansas,1955-03-21 00:00:00
604,COOKBR01,Brian,Cook,F,2003,2004,6.0,10.0,240.0,Illinois,1980-12-04 00:00:00
605,COOKOM01,Omar,Cook,G,2003,2004,6.0,1.0,190.0,St. John's,1982-01-28 00:00:00
606,COOKEDA01,David,Cooke,F,1985,1985,6.0,8.0,230.0,St. Mary's,1963-09-27 00:00:00
607,COOKEJO01,Joe,Cooke,G,1970,1970,6.0,3.0,175.0,Indiana,1948-08-14 00:00:00
608,COOPECH01,Chuck,Cooper,F,1950,1955,6.0,5.0,210.0,Duquesne,1926-09-29 00:00:00
609,COOPEDU01,Duane,Cooper,G,1992,1993,6.0,1.0,185.0,USC,1969-06-25 00:00:00
610,COOPEJO01,Joe,Cooper,C,1981,1984,6.0,10.0,230.0,Colorado,1957-09-01 00:00:00
611,COOPEMI01,Michael,Cooper,G,1978,1989,6.0,5.0,170.0,New Mexico    ,1956-04-15 00:00:00
612,COOPEWA01,Wayne,Cooper,C,1978,1991,6.0,10.0,220.0,New Orleans,1956-11-16 00:00:00
613,COPATO01,Tom,Copa,F,1991,1991,6.0,10.0,275.0,Marquette,1964-10-30 00:00:00
614,COPELHO01,Hollis,Copeland,F,1979,1981,6.0,6.0,180.0,Rutgers,1955-12-20 00:00:00
615,COPELLA01,Lanard,Copeland,F,1989,1991,6.0,6.0,190.0,Georgia State,1965-07-16 00:00:00
616,CORBITY01,Tyrone,Corbin,F,1985,2000,6.0,6.0,210.0,DePaul,1962-12-31 00:00:00
617,CORCHCH01,Chris,Corchiani,G,1991,1993,6.0,0.0,185.0,North Carolina State,1968-03-28 00:00:00
618,CORLEKE01,Ken,Corley,C,1946,1946,6.0,4.5,210.0,Oklahoma St. Teachers,1921-05-10 00:00:00
619,CORLERA01,Ray,Corley,G,1949,1952,6.0,0.0,180.0,Georgetown,1928-01-01 00:00:00
620,CORZIDA01,Dave,Corzine,C,1978,1990,6.0,11.0,250.0,DePaul,1956-04-25 00:00:00
621,COSTELA01,Larry,Costello,G,1954,1967,6.0,1.0,186.0,Niagara,1931-07-02 00:00:00
622,COTTOJA01,Jack,Cotton,F,1949,1949,6.0,7.0,200.0,Wyoming,1924-10-15 00:00:00
623,COTTOJA02,James,Cotton,G,1997,1998,6.0,5.0,220.0,Long Beach State,1975-12-14 00:00:00
624,COUGHJO01,John,Coughran,F,1979,1979,6.0,7.0,225.0,California,1951-09-12 00:00:00
625,COUNTME01,Mel,Counts,C,1964,1975,7.0,0.0,230.0,Oregon State,1941-10-16 00:00:00
626,COURTST01,Steve,Courtin,G,1964,1964,6.0,1.0,188.0,St. Joseph's (PA),1942-09-21 00:00:00
627,COURTJO01,Joe,Courtney,F,1992,1996,6.0,8.0,235.0,Southern Mississippi,1969-10-17 00:00:00
628,COUSYBO01,Bob,Cousy,G,1950,1969,6.0,1.0,175.0,Holy Cross,1928-08-09 00:00:00
629,COWENDA01,Dave,Cowens,C,1970,1982,6.0,9.0,230.0,Florida State,1948-10-25 00:00:00
630,COXJO01,Johnny,Cox,G,1962,1962,6.0,4.0,180.0,Kentucky,1936-11-01 00:00:00
631,COXJO02,John,Cox,G,1982,1982,6.0,2.0,180.0,San Francisco,1955-12-29 00:00:00
632,COXWE01,Wesley,Cox,F,1977,1978,6.0,6.0,215.0,Louisville,1955-01-27 00:00:00
633,CRAWFCH01,Chris,Crawford,F,1997,2003,6.0,9.0,235.0,Marquette,1975-05-13 00:00:00
634,CRAWFFR01,Fred,Crawford,G,1966,1970,6.0,4.0,189.0,St. Bonaventure,1941-12-23 00:00:00
635,CRAWFJA01,Jamal,Crawford,G,2000,2004,6.0,5.0,175.0,Michigan,1980-03-20 00:00:00
636,CREIGJI01,Jim,Creighton,F,1975,1975,6.0,8.0,200.0,Colorado,1950-04-18 00:00:00
637,CREVIRO01,Ron,Crevier,F,1985,1985,7.0,0.0,235.0,Boston College,1958-04-14 00:00:00
638,CRISLHA01,Hal,Crisler,F,1946,1946,6.0,3.0,215.0,Iowa State,1923-12-31 00:00:00
639,CRISPJO01,Joe,Crispin,G,2001,2001,6.0,0.0,185.0,Penn State,1979-07-18 00:00:00
640,CRISSCH01,Charlie,Criss,G,1977,1984,5.0,8.0,165.0,New Mexico State,1948-11-06 00:00:00
641,CRITCRU01,Russ,Critchfield,G,1968,1968,5.0,10.0,150.0,California,1946-06-27 00:00:00
642,CRITEWI01,Winston,Crite,F,1987,1988,6.0,7.0,233.0,Texas A&M,1965-06-20 00:00:00
643,CROCKDI01,Dillard,Crocker,F,1948,1952,6.0,4.0,205.0,Western Michigan,1925-01-19 00:00:00
644,CROFTBO01,Bobby,Croft,C,1970,1970,6.0,10.0,200.0,Tennessee,1947-08-10 00:00:00
645,CROMPJE01,Jeffrey,Crompton,C,1978,1983,6.0,11.0,280.0,North Carolina,1955-07-04 00:00:00
646,CROSBTE01,Terry,Crosby,G,1979,1979,6.0,4.0,195.0,Tennessee,1957-01-04 00:00:00
647,CROSHAU01,Austin,Croshere,F,1997,2004,6.0,9.0,235.0,Providence,1975-05-01 00:00:00
648,CROSSJE01,Jeff,Cross,F,1985,1985,6.0,10.0,240.0,Maine,1961-09-01 00:00:00
649,CROSSPE01,Pete,Cross,C,1970,1972,6.0,9.0,230.0,San Francisco,1948-03-28 00:00:00
650,CROSSRU01,Russell,Cross,C,1983,1983,6.0,10.0,215.0,Purdue,1961-09-05 00:00:00
651,CROSSFR01,Francis,Crossin,G,1947,1949,6.0,1.0,165.0,Pennsylvania,1924-07-04 00:00:00
652,CROTTJO01,John,Crotty,G,1992,2002,6.0,1.0,185.0,Virginia,1969-07-15 00:00:00
653,CROWBI01,Bill,Crow,G,1967,1967,6.0,1.0,180.0,Westminster (UT),1940-12-09 00:00:00
654,CROWMA01,Mark,Crow,F,1977,1977,6.0,7.0,210.0,Duke,1954-10-22 00:00:00
655,CROWDCO01,Corey,Crowder,F,1991,1994,6.0,5.0,214.0,Kentucky Wesleyan,1969-04-13 00:00:00
656,CUETOAL01,Al,Cueto,C,1969,1970,6.0,7.0,230.0,Tulsa,1946-08-02 00:00:00
657,CUMMIPA01,Pat,Cummings,C,1979,1990,6.0,9.0,230.0,Cincinnati,1956-07-11 00:00:00
658,CUMMITE01,Terry,Cummings,F,1982,1999,6.0,9.0,220.0,DePaul,1961-03-15 00:00:00
659,CUMMIVO01,Vonteego,Cummings,G,1999,2001,6.0,3.0,185.0,Pittsburgh,1976-02-29 00:00:00
660,CUNNIBI01,Billy,Cunningham,F,1965,1975,6.0,6.0,210.0,North Carolina,1943-06-03 00:00:00
661,CUNNIDI01,Dick,Cunningham,C,1968,1974,6.0,10.0,245.0,Murray State,1946-07-11 00:00:00
662,CUNNIWI01,Willi,Cunningham,C,1997,1998,6.0,11.0,250.0,Temple,1974-03-25 00:00:00
663,CURCIRA01,Radisav,Curcic,C,1992,1992,6.0,10.0,275.0,none,1965-09-26 00:00:00
664,CUREAR01,Armand,Cure,F,1946,1946,6.0,0.0,198.0,Rhode Island,1919-08-01 00:00:00
665,CURETEA01,Earl,Cureton,F,1980,1996,6.0,9.0,210.0,Detroit,1957-09-03 00:00:00
666,CURLEBI01,Bill,Curley,F,1994,2000,6.0,9.0,220.0,Boston College,1972-05-29 00:00:00
667,CURRAFR01,Fran,Curran,G,1948,1949,6.0,0.0,175.0,Notre Dame,1925-09-19 00:00:00
668,CURRYDE01,Dell,Curry,G,1986,2001,6.0,4.0,190.0,Virginia Tech,1964-06-25 00:00:00
669,CURRYED01,Eddy,Curry,C,2001,2004,6.0,11.0,285.0,None,1982-12-05 00:00:00
670,CURRYMI01,Michael,Curry,G,1993,2004,6.0,5.0,210.0,Georgia Southern,1968-08-12 00:00:00
671,CVETKRA01,Rastko,Cvetkovic,C,1995,1995,7.0,1.0,260.0,none,1970-06-22 00:00:00
672,DANTMI01,Mike,D'antoni,G,1973,1976,6.0,3.0,185.0,Marshall,1951-05-08 00:00:00
673,DABICMI01,Mike,Dabich,C,1967,1967,7.0,0.0,242.0,New Mexico State,1942-12-27 00:00:00
674,DAHLEED01,Ed,Dahler,F,1951,1951,6.0,5.0,190.0,Duquesne,1926-01-31 00:00:00
675,DAILEQU01,Quintin,Dailey,G,1982,1991,6.0,3.0,180.0,San Francisco,1961-01-22 00:00:00
676,DALEMSA01,Samuel,Dalembert,C,2001,2004,6.0,11.0,250.0,Seton Hall,1981-05-10 00:00:00
677,DALLMHO01,Howie,Dallmar,F,1946,1948,6.0,4.0,200.0,Stanford,1922-05-24 00:00:00
678,DAMPIER01,Erick,Dampier,C,1996,2004,6.0,11.0,265.0,Mississippi State,1974-07-14 00:00:00
679,DAMPILO01,Lou,Dampier,G,1967,1978,6.0,0.0,170.0,Kentucky,1944-11-20 00:00:00
680,DANDRBO01,Bob,Dandridge,F,1969,1981,6.0,6.0,195.0,Norfolk State,1947-11-15 00:00:00
681,DANIEAN01,Antonio,Daniels,G,1997,2004,6.0,4.0,195.0,Bowling Green,1975-03-19 00:00:00
682,DANIELL01,Lloyd,Daniels,G,1992,1997,6.0,7.0,205.0,Mount San Antonio,1967-09-04 00:00:00
683,DANIEME01,Mel,Daniels,C,1967,1976,6.0,9.0,220.0,New Mexico  ,1944-07-20 00:00:00
684,DANIEMA01,Marquis,Daniels,G,2003,2004,6.0,6.0,200.0,Auburn,1981-01-07 00:00:00
685,DANIEER01,Erik,Daniels,F,2004,2004,6.0,8.0,214.0,Kentucky,1982-04-01 00:00:00
686,DANILPR01,Predrag,Danilovic,G,1995,1996,6.0,5.0,200.0,none,1970-02-26 00:00:00
687,DANTLAD01,Adrian,Dantley,F,1976,1990,6.0,5.0,208.0,Notre Dame,1956-02-28 00:00:00
688,DANTOMI01,Mike,Dantoni,G,1975,1975,6.0,7.0,210.0,UCLA,1945-01-01 00:00:00
689,DARCEHE01,Henry,Darcey,C,1952,1952,6.0,7.0,217.0,Oklahoma A&M,1930-03-03 00:00:00
690,DARDEJI01,Jimmy,Darden,G,1949,1949,6.0,1.0,170.0,Denver,1922-06-19 00:00:00
691,DARDEOL01,Oliver,Darden,F,1967,1969,6.0,6.5,235.0,Michigan,1944-07-28 00:00:00
692,DAREYI01,Yinka,Dare,C,1994,1997,7.0,0.0,265.0,George Washington,1972-10-10 00:00:00
693,DARKJE01,Jesse,Dark,G,1974,1974,6.0,4.5,210.0,Virginia Commonwealth,1951-09-02 00:00:00
694,DARNERI01,Rick,Darnell,C,1975,1975,6.0,10.0,215.0,San Jose State,1953-01-01 00:00:00
695,DARROJI01,Jimmy,Darrow,G,1961,1961,5.0,10.0,170.0,Bowling Green,1937-09-25 00:00:00
696,DAUGHBR01,Brad,Daugherty,C,1986,1993,7.0,0.0,245.0,North Carolina,1965-10-19 00:00:00
697,DAUGHMA01,Mack,Daughtry,G,1970,1970,6.0,3.0,175.0,Albany State (GA),1947-01-01 00:00:00
698,DAVIDKO01,Kornel,David,F,1998,2000,6.0,9.0,235.0,UCLA,1971-10-22 00:00:00
699,DAVIEBO01,Bob,Davies,G,1948,1954,6.0,1.0,175.0,Seton Hall,1920-01-15 00:00:00
700,DAVISAN01,Antonio,Davis,F,1993,2004,6.0,9.0,215.0,UTEP,1968-10-31 00:00:00
701,DAVISAU01,Aubrey,Davis,G,1946,1946,6.0,2.0,175.0,Oklahoma Baptist,1921-03-28 00:00:00
702,DAVISBA01,Baron,Davis,G,1999,2004,6.0,3.0,209.0,UCLA,1979-04-13 00:00:00
703,DAVISBE01,Ben,Davis,F,1996,1999,6.0,9.0,240.0,Arizona,1972-12-26 00:00:00
704,DAVISBI01,Bill,Davis,F,1946,1946,6.0,3.0,215.0,Notre Dame,1921-10-03 00:00:00
705,DAVISBO01,Bob,Davis,F,1972,1972,6.0,7.0,215.0,Weber State,1950-04-02 00:00:00
706,DAVISBR01,Brad,Davis,G,1977,1991,6.0,3.0,180.0,Maryland,1955-12-17 00:00:00
707,DAVISBR02,Brian,Davis,F,1993,1993,6.0,7.0,200.0,Duke,1970-06-21 00:00:00
708,DAVISCH01,Charlie,Davis,G,1971,1973,6.0,1.5,160.0,Wake Forest,1949-09-07 00:00:00
709,DAVISCH02,Charlie,Davis,F,1982,1989,6.0,7.0,215.0,Vanderbilt,1958-10-05 00:00:00
710,DAVISDA01,Dale,Davis,F,1991,2004,6.0,11.0,230.0,Clemson,1969-03-25 00:00:00
711,DAVISDW01,Dwight,Davis,F,1972,1976,6.0,8.0,220.0,Houston,1949-10-28 00:00:00
712,DAVISED01,Edward,Davis,F,1972,1976,6.0,7.0,195.0,Duquesne,1950-06-16 00:00:00
713,DAVISEM01,Emanual,Davis,G,1996,2002,6.0,4.0,195.0,Delaware State,1968-08-27 00:00:00
714,DAVISHA01,Harry,Davis,F,1978,1979,6.0,7.0,220.0,Florida State,1956-01-27 00:00:00
715,DAVISHU01,Hubert,Davis,G,1992,2003,6.0,5.0,183.0,North Carolina,1970-05-17 00:00:00
716,DAVISJA01,James,Davis,C,1955,1955,6.0,7.0,220.0,St. John's,1932-04-22 00:00:00
717,DAVISJI01,Jim,Davis,C,1967,1974,6.0,9.0,225.0,Colorado,1941-12-18 00:00:00
718,DAVISJO01,Johnny,Davis,G,1976,1985,6.0,1.5,170.0,Dayton,1955-10-21 00:00:00
719,DAVISLE01,Lee,Davis,C,1968,1975,6.0,8.0,235.0,North Carolina College,1945-10-11 00:00:00
720,DAVISMA01,Mark,Davis,F,1994,1999,6.0,7.0,210.0,Texas Tech,1973-04-26 00:00:00
721,DAVISME01,Mel,Davis,F,1973,1976,6.0,6.0,220.0,St. John's,1950-11-09 00:00:00
722,DAVISMI01,Mike,Davis,G,1969,1972,6.0,3.0,185.0,Virginia Union,1946-07-26 00:00:00
723,DAVISMI02,Mickey,Davis,F,1971,1971,6.0,7.0,210.0,UCLA,1945-01-01 00:00:00
724,DAVISMI03,Michael,Davis,F,1982,1982,6.0,10.0,230.0,Maryland,1956-08-02 00:00:00
725,DAVISMO01,Monti,Davis,F,1980,1980,6.0,7.0,205.0,Tennessee State,1958-07-26 00:00:00
726,DAVISRA01,Ralph,Davis,G,1960,1961,6.0,4.0,180.0,Cincinnati,1938-09-07 00:00:00
727,DAVISRI01,Ricky,Davis,G,1998,2004,6.0,6.0,195.0,Iowa,1979-09-23 00:00:00
728,DAVISRO01,Ron,Davis,G,1976,1981,6.0,6.0,198.0,Washington State,1954-05-01 00:00:00
729,DAVISTE01,Terry,Davis,F,1989,2000,6.0,9.0,225.0,Virginia Union,1967-06-17 00:00:00
730,DAVISWA01,Walt,Davis,C,1953,1957,6.0,8.0,205.0,Texas A&M,1931-01-05 00:00:00
731,DAVISWA02,Warren,Davis,F,1967,1972,6.0,6.0,212.0,North Carolina A&T,1943-06-30 00:00:00
732,DAVISWA03,Walter,Davis,G,1977,1991,6.0,6.0,193.0,North Carolina,1954-09-09 00:00:00
733,DAVISWI01,Willie,Davis,C,1970,1970,6.0,8.0,234.0,North Texas State,1945-08-09 00:00:00
734,DAVISMA02,Mark,Davis,F,1988,1988,6.0,6.0,195.0,Old Dominion,1963-06-08 00:00:00
735,DAVISJO02,Josh,Davis,F,2003,2004,6.0,8.0,235.0,Wyoming,1980-08-10 00:00:00
736,DAWKIDA01,Darryl,Dawkins,C,1975,1988,6.0,11.0,251.0,none,1957-01-11 00:00:00
737,DAWKIJO01,Johnny,Dawkins,G,1986,1994,6.0,2.0,165.0,Duke,1963-09-28 00:00:00
738,DAWKIPA01,Paul,Dawkins,F,1979,1979,6.0,5.0,190.0,Northern Illinois,1957-06-10 00:00:00
739,DAWSOJA01,James,Dawson,G,1967,1967,6.0,0.0,175.0,Illinois,1945-04-18 00:00:00
740,DAWSOTO01,Tony,Dawson,F,1990,1994,6.0,7.0,215.0,Florida State,1967-08-25 00:00:00
741,DAYTO01,Todd,Day,G,1992,2000,6.0,6.0,188.0,Arkansas,1970-01-07 00:00:00
742,DAYEDA01,Darren,Daye,F,1983,1987,6.0,8.0,220.0,UCLA,1960-11-30 00:00:00
743,DEANEGR01,Greg,Deane,G,1979,1979,6.0,4.0,190.0,Utah,1957-12-06 00:00:00
744,DEANGBI01,Billy,Deangelis,G,1970,1970,6.0,1.0,180.0,St. Joseph's (PA),1946-10-05 00:00:00
745,DEBUSDA01,Dave,Debusschere,F,1962,1973,6.0,6.0,220.0,Detroit,1940-10-16 00:00:00
746,DECLEAN01,Andrew,Declercq,C,1995,2004,6.0,10.0,230.0,Florida,1973-02-01 00:00:00
747,DEEDO01,Don,Dee,F,1968,1968,6.0,8.0,210.0,St. Mary of the Plains,1943-08-09 00:00:00
748,DEESAR01,Archie,Dees,F,1958,1961,6.0,8.0,205.0,Indiana,1936-02-22 00:00:00
749,DEHERTE01,Terry,Dehere,G,1993,1998,6.0,2.0,190.0,Seton Hall,1971-09-12 00:00:00
750,DEHNEHE01,Henry,Dehnert,F,1946,1946,6.0,2.5,175.0,Columbia,1924-01-01 00:00:00
751,DELNEVI01,Vinny,Del Negro,G,1988,2001,6.0,4.0,185.0,North Carolina State,1966-08-09 00:00:00
752,DELEBI01,Bison,Dele,C,1991,1998,6.0,9.0,235.0,Arizona,1969-04-06 00:00:00
753,DELFICA01,Carlos,Delfino,G,2004,2004,6.0,6.0,230.0,UCLA,1982-08-29 00:00:00
754,DELKTO01,Tony,Delk,G,1996,2004,6.0,1.0,189.0,Kentucky,1974-01-28 00:00:00
755,DELONNA01,Nate,Delong,C,1951,1951,6.0,6.0,220.0,Wisconsin River Falls,1926-01-05 00:00:00
756,DEMBOFE01,Fennis,Dembo,F,1988,1988,6.0,5.0,215.0,Wyoming,1966-01-24 00:00:00
757,DEMICLA01,Larry,Demic,F,1979,1981,6.0,9.0,225.0,Arizona,1957-06-27 00:00:00
758,DEMPSDE01,Dell,Demps,G,1993,1996,6.0,3.0,205.0,Pacific,1970-02-12 00:00:00
759,DEMPSGE01,George,Dempsey,G,1954,1958,6.0,2.0,190.0,King's (DE),1929-07-19 00:00:00
760,DENGLU01,Luol,Deng,G,2004,2004,6.0,8.0,220.0,Duke,1985-04-16 00:00:00
761,DENNAKE01,Kenny,Dennard,F,1981,1983,6.0,8.0,220.0,Duke,1958-10-18 00:00:00
762,DENNIBL01,Blaine,Denning,G,1952,1952,6.0,2.0,175.0,Lawrence Tech,1930-09-19 00:00:00
763,DENTORA01,Randy,Denton,C,1971,1976,6.0,10.0,240.0,Duke,1949-02-18 00:00:00
764,DEPREJO01,Joe,Depre,G,1970,1972,6.0,3.0,185.0,St. John's,1947-12-19 00:00:00
765,DERLIRO01,Rod,Derline,G,1974,1975,6.0,0.0,175.0,Seattle,1952-03-11 00:00:00
766,DEUTSDA01,Dave,Deutsch,G,1966,1966,6.0,1.0,170.0,Rochester,1945-05-13 00:00:00
767,DEVLIWA01,Walter,Devlin,G,1955,1957,6.0,5.0,195.0,George Washington,1931-12-21 00:00:00
768,DEZONHA01,Hank,Dezonie,F,1950,1950,6.0,5.5,215.0,Clark (GA),1922-02-12 00:00:00
769,DIALDE01,Derrick,Dial,G,1999,2003,6.0,4.0,184.0,Eastern Michigan,1975-12-20 00:00:00
770,DIAWBO01,Boris,Diaw,G,2003,2004,6.0,8.0,203.0,UCLA,1982-04-16 00:00:00
771,DICKADA01,Dan,Dickau,G,2002,2004,6.0,0.0,190.0,Gonzaga,1978-09-16 00:00:00
772,DICKEKA01,Kaniel,Dickens,F,2003,2004,6.0,8.0,215.0,Idaho,1978-07-21 00:00:00
773,DICKEHE01,Henry,Dickerson,G,1975,1976,6.0,4.0,190.0,Morris-Harvey,1951-11-27 00:00:00
774,DICKEMI01,Michael,Dickerson,G,1998,2002,6.0,5.0,190.0,Arizona,1975-06-25 00:00:00
775,DICKECL01,Clyde,Dickey,G,1974,1974,6.0,3.0,185.0,Boise State,1951-12-14 00:00:00
776,DICKEDE01,Derrek,Dickey,F,1973,1977,6.0,7.0,218.0,Cincinnati,1951-03-20 00:00:00
777,DICKEDI01,Dick,Dickey,G,1951,1951,6.0,1.0,175.0,North Carolina State,1926-10-26 00:00:00
778,DICKSJO01,John,Dickson,C,1967,1967,6.0,10.0,240.0,Arkansas State,1945-11-18 00:00:00
779,DIERKCO01,Connie,Dierking,C,1958,1970,6.0,9.0,222.0,Cincinnati,1936-10-02 00:00:00
780,DIETRCO01,Coby,Dietrick,C,1970,1982,6.0,10.0,220.0,San Jose State,1948-07-23 00:00:00
781,DIGREER01,Ernie,Digregorio,G,1973,1977,6.0,0.0,180.0,Providence,1951-01-15 00:00:00
782,DILLCR01,Craig,Dill,C,1967,1967,6.0,11.0,215.0,Michigan ,1944-12-17 00:00:00
783,DILLADU01,Wayne,Dillard,F,1975,1975,6.0,6.0,210.0,Eastern Michigan,1945-01-01 00:00:00
784,DILLAMI01,Mickey,Dillard,G,1981,1981,6.0,3.0,170.0,Florida State,1958-10-15 00:00:00
785,DILLEBO01,Bob,Dille,F,1946,1946,6.0,3.0,190.0,Valparaiso,1917-07-02 00:00:00
786,DILLOJO01,John,Dillon,F,1949,1949,6.0,3.0,180.0,North Carolina  ,1924-01-08 00:00:00
787,DINKIBY01,Byron,Dinkins,G,1989,1990,6.0,1.0,170.0,UNC-Charlotte,1967-06-15 00:00:00
788,DINKIJA01,Jackie,Dinkins,F,1971,1971,6.0,5.0,210.0,Voorhees,1950-01-22 00:00:00
789,DINNEHA01,Harry,Dinnel,F,1967,1967,6.0,4.0,200.0,Pepperdine,1941-01-01 00:00:00
790,DINWIBI01,Bill,Dinwiddie,F,1967,1971,6.0,7.0,220.0,New Mexico Highlands,1943-07-15 00:00:00
791,DIOPDE01,Desagana,Diop,C,2001,2004,7.0,0.0,300.0,None,1982-01-30 00:00:00
792,DISCHTE01,Terry,Dischinger,F,1962,1972,6.0,7.0,189.0,Purdue,1940-11-21 00:00:00
793,DIUTEFR01,Fred,Diute,G,1954,1954,6.0,3.0,210.0,St. Bonaventure,1929-01-09 00:00:00
794,DIVACVL01,Vlade,Divac,C,1989,2004,6.0,11.0,243.0,none,1968-02-03 00:00:00
795,DIXONJU01,Juan,Dixon,G,2002,2004,6.0,3.0,164.0,Maryland,1978-10-09 00:00:00
796,DJORDAL01,Aleksi,Djordjevic,G,1996,1996,6.0,2.0,198.0,none,1967-08-26 00:00:00
797,DODDEA01,Earl,Dodd,F,1949,1949,6.0,5.0,175.0,NE Missouri State,1924-11-01 00:00:00
798,DOLEAMI01,Michael,Doleac,C,1998,2004,6.0,11.0,262.0,Utah,1977-06-15 00:00:00
799,DOLHOJO01,Joe,Dolhon,G,1949,1950,6.0,0.0,175.0,NYU,1927-07-09 00:00:00
800,DOLLBO01,Bob,Doll,F,1946,1949,6.0,4.5,195.0,Colorado,1919-08-10 00:00:00
801,DONALJA01,James,Donaldson,C,1980,1994,7.0,2.0,275.0,Washington State,1957-08-16 00:00:00
802,DONHABO01,Bob,Donham,G,1950,1953,6.0,2.0,190.0,Ohio State,1926-10-11 00:00:00
803,DONOVBI01,Billy,Donovan,G,1987,1987,5.0,11.0,171.0,Providence,1965-05-30 00:00:00
804,DONOVHA01,Harry,Donovan,G,1949,1949,6.0,2.0,180.0,Muhlenberg,1926-09-10 00:00:00
805,DOOLIKE01,Keyon,Dooling,G,2000,2004,6.0,3.0,196.0,Missouri,1980-05-08 00:00:00
806,DORSEJA01,Jacky,Dorsey,F,1977,1980,6.0,7.0,230.0,Georgia,1954-12-18 00:00:00
807,DORSERO01,Ron,Dorsey,G,1971,1971,6.0,4.0,200.0,Tennessee State,1948-10-10 00:00:00
808,DOUGLBR01,Bruce,Douglas,G,1986,1986,6.0,3.0,195.0,Illinois,1964-04-09 00:00:00
